,0
10,"Promoter methylation is associated with gene repression; however, little is known about its mechanism. It was proposed that the repression of methylated genes is achieved through the recruitment of methyl binding proteins (MBPs) that participate in closing the chromatin. An alternative mechanism suggests that methylation interferes with the binding of either site specific activators or more general activators that bind to the CpG dinucleotide. However, the relative contribution of these two mechanisms to gene repression is not known. Bioinformatics analyses of genome-wide transcriptome and methylome data support the latter hypothesis by demonstrating a strong association between transcription and the number of unmethylated CpGs at the promoter of genes lacking CpG islands.
Our results suggest that methylation represses gene expression mainly by preventing the binding of CpG binding activators."
11,"To explore the potential correlation between insulin-like growth factor receptor-1 (IGF-1R) expression and rectal cancer radiosensitivity. Eighty-seven rectal cancer patients (cTNM I-III) treated in our department between January 2011 and December 2012 were enrolled. All subjects were treated with preoperative radiotherapy and radical resection of rectal carcinoma. Immunohistochemistry and reverse transcription polymerase chain reaction (RT-PCR) were performed to detect IGF-1R expression in pre-treatment and postoperative colorectal cancer specimens. Radiosensitivity for rectal cancer specimens was evaluated by observing rectal carcinoma mass regression combined with fibrosis on HE staining, degree of necrosis and quantity of remaining tumor cells. The relative IGF-1R expression was evaluated for association with tumor radiosensitivity. Immunohistochemistry showed diffuse IGF-1R staining on rectal cancer cells with various degrees of signal density. IGF-1R expression was significantly correlated with cTNM staging (P = 0.012) while no significant association was observed with age, sex, tumor size and degree of differentiation (P = 0.424, 0.969, 0.604, 0.642). According to the Rectal Cancer Regression Grades (RCRG), there were 31 cases of RCRG1 (radiation sensitive), 28 cases of RCRG2 and 28 cases of RCRG3 (radiation resistance) in 87 rectal cancer subjects. IGF-1R protein hyper-expression was significantly correlated with a poor response to radiotherapy (P < 0.001, r = 0.401). RT-PCR results from pre-radiation biopsy specimens also showed that IGF-1R mRNA negative group exhibited a higher radiation sensitivity (P < 0.001, r = 0.497). Compared with the pre-radiation biopsy specimens, the paired post-operative specimens showed a significantly increased IGF-1R protein and mRNA expression in the residual cancer cells (P < 0.001, respectively).
IGF-1R expression level may serve as a predictive biomarker for radiosensitivity of rectal cancer before preoperative radiotherapy."
12,"Alcohol consumption during pregnancy can induce a wide spectrum of adverse effects in offspring. Microcephaly and mental retardation are two major defects of central nervous system (CNS). Most mechanism studies of alcohol-related CNS defects have been focused on the morphologically abnormal tissues, and more attention has been paid to nuclear alteration as opposed to organelle development. A mouse model of fetal alcohol syndrome (FAS) was used to investigate the effect of alcohol on fetal cerebral mitochondria development. Pregnant mice were given different doses of ethanol intragastrically from GD6 to GD15. Fetal cerebral mitochondria were isolated and analyzed on GD18. Excessive cell apoptosis was found in the cerebra of prenatal alcohol exposure fetuses. Proliferation and differentiation of fetal cerebral mitochondria were inhibited by alcohol. Affected mitochondrial volume constriction and adenosine triphosphate (ATP) accumulation, reduced activities of respiratory chain complex I and IV and ATP synthase were detected in the cerebral tissue without obvious malformed appearance.
Impaired mitochondria development plays a role in the CNS defects induced by prenatal alcohol exposure."
13,"To compare methods for analysis of longitudinal studies with missing data due to participant dropout and follow-up truncated by death. We analyzed physical functioning in an Australian longitudinal study of elderly women where the missing data mechanism could either be missing at random (MAR) or missing not at random (MNAR). We assumed either an immortal cohort where deceased participants are implicitly included after death or a mortal cohort where the target of inference is surviving participants at each survey wave. To illustrate the methods a covariate was included. Simulation was used to assess the effect of the assumptions. Ignoring attrition or restricting analysis to participants with complete follow up led to biased estimates. Linear mixed model was appropriate for an immortal cohort under MAR but not MNAR. Linear increment model and joint modeling of longitudinal outcome and time to death were the most robust to MNAR. For a mortal cohort, inverse probability weighting and multiple imputation could be used, but care is needed in specifying dropout and imputation models, respectively.
Appropriate analysis methodology to deal with attrition in longitudinal studies depends on the target of inference and the missing data mechanism."
14,"GATA transcription factors are essential for self-renewal of the small intestinal epithelium. Gata4 is expressed in the proximal 85% of small intestine while Gata6 is expressed throughout the length of small intestine. Deletion of intestinal Gata4 and Gata6 results in an altered proliferation/differentiation phenotype, and an up-regulation of SAM pointed domain containing ETS transcription factor (Spdef), a transcription factor recently shown to act as a tumor suppressor. The goal of this study is to determine to what extent SPDEF mediates the downstream functions of GATA4/GATA6 in the small intestine. The hypothesis to be tested is that intestinal GATA4/GATA6 functions through SPDEF by repressing Spdef gene expression. To test this hypothesis, we defined the functions most likely regulated by the overlapping GATA6/SPDEF target gene set in mouse intestine, delineated the relationship between GATA6 chromatin occupancy and Spdef gene regulation in Caco-2 cells, and determined the extent to which prevention of Spdef up-regulation by Spdef knockout rescues the GATA6 phenotype in conditional Gata6 knockout mouse ileum. Using publicly available profiling data, we found that 83% of GATA6-regulated genes are also regulated by SPDEF, and that proliferation/cancer is the function most likely to be modulated by this overlapping gene set. In human Caco-2 cells, GATA6 knockdown results in an up-regulation of Spdef gene expression, modeling our mouse Gata6 knockout data. GATA6 occupies a genetic locus located 40 kb upstream of the Spdef transcription start site, consistent with direct regulation of Spdef gene expression by GATA6. Prevention of Spdef up-regulation in conditional Gata6 knockout mouse ileum by the additional deletion of Spdef rescued the crypt cell proliferation defect, but had little effect on altered lineage differentiation or absorptive enterocytes gene expression.
SPDEF is a key, immediate downstream effecter of the crypt cell proliferation function of GATA4/GATA6 in the small intestine."
15,"Nasal congestion is the most troublesome symptom associated with a variety of upper airway diseases, including allergic rhinitis and the common cold. A better understanding of the mechanisms that regulate nasal cavity caliber may engender the development of novel treatment strategies. It is well accepted that alpha-adrenergic (both alpha(1) and alpha(2)) mechanisms play a fundamental role in the control and maintenance of basal nasal patency. JP-1302 is a selective alpha(2c)-subtype antagonist that has been recently described in the scientific literature. Thus, we sought to examine the potential effects of this new pharmacological tool on basal nasal patency. Using acoustic rhinometry, we studied the activity of the selective alpha(2c)-antagonist JP-1302 on nasal cavity volumes in an anesthetized cat. Cumulative concentrations of JP-1302 were applied directly into the right nasal cavity. Changes in the nasal cavity geometry of the drug-treated naris relative to the untreated left nasal cavity were determined. In separate studies, the nonselective alpha(2)-antagonist yohimbine and the nonselective alpha(1)-antagonist prazosin were run as comparators. Systolic blood pressure was measured at the hind leg, using an ultrasonic Doppler flow detector. JP-1302 (0.03, 0.1, 0.3 and 1.0%) administered by the intranasal route decreased nasal cavity volumes from baseline values by 17, 25, 40 and 40%, respectively. Yohimbine (0.03, 0.1, 0.3 and 1.0%) decreased volumes by 19, 36, 46 and 53%, and topical administration of the nonselective alpha(1)-antagonist prazosin (0.001, 0.003, 0.01, 0.03 and 0.1%) decreased volumes by 6, 47, 56, 64 and 71%, respectively. JP-1302, yohimbine and prazosin, at the dose level tested, did not alter the blood pressure.
The present set of experiments indicates that both alpha(1)- and alpha(2)-adrenergic receptors are involved in the maintenance of basal nasal patency in the cat. Moreover, alpha(2c)-receptors may play a significant role in the sympathetic control of upper airway function."
16,"The growth hormone/insulin-like growth factor I (GH/IGF-I) axis has been linked to prostate cancer (PCa) risk. Although previous studies indicate that human breast cancers and a murine PCa model develop more slowly in murine hosts homozygous for a missense mutation in the GH-releasing hormone receptor (lit/lit) whose ""little"" dwarfed phenotype is caused by suppressed GH and IGF-I production, the role of these two hormones remains controversial. To assess how the GH/IGF-I axis influences androgen-responsive, castration-resistant (CR), and androgen-independent (AI) growth of human PCa, we compared xenograft growth of the androgen-responsive human PCa cells, LNCaP, and AI human PCa cells, PC3, in intact and castrate Nod/SCID lit/lit and lit/+ mice, and in vitro growth of these cell lines in lit/lit and lit/+ serum-containing media supplemented with GH or IGF-I. Tumor growth and PSA accumulation rates were suppressed in LNCaP tumor-bearing lit/lit mice pre- and post-castration. Growth of PC3 xenografts in lit/lit mice was also suppressed. In vitro proliferation of LNCaP and PC3 cells cultured in media containing lit/lit mouse serum was decreased as compared to growth in media containing lit/+ serum. Suppressed growth in lit/lit serum could be restored by the addition of IGF-I, and to a lesser extent, GH. Differences in growth correlated with differences in steady-state AKT and ERK1/2 activation.
This study demonstrates that circulating GH and IGF-I can promote androgen-responsive growth, CR progression, and AI expansion of PTEN-deficient human PCa cell xenografts and indicates that IGF-I can promote PCa growth in a suppressed GH environment."
17,"To determine whether baseline anxiety and social stressors as well their early change (first 3 months) predict 12-month depression and pain severity. We analyzed data from the Stepped Care for Affective Disorders and Musculoskeletal Pain study, a randomized clinical trial of a combined medication-behavioral intervention for primary care patients with chronic musculoskeletal pain and depression. Using multivariable linear regression modeling, we examined the independent association of baseline anxiety and social stressors with depression and pain severity at 12 months. In addition, we modeled whether changes in anxiety and social stressors predicted 12-month depression and pain severity. Overall, the sample (N=250) was 52.8% women with a mean age of 55.5 years, and a racial distribution of 60.4% white, 36.4% black, and 3.2% other. Depression and pain were moderately severe at baseline (mean SCL-20 depression=1.9 and Brief Pain Inventory pain severity=6.15) and similar across intervention and usual care arms. Baseline anxiety symptoms predicted both depression (t score=2.13, P=0.034) and pain severity (t score=2.75, P=0.007) at 12 months. Also, early change in anxiety predicted 12-month depression (t score=-2.47, P=0.014), but not pain. Neither baseline nor early change in social stressors predicted depression or pain severity.
Anxiety, but not social stressors predict 12-month depression and pain severity. The presence of comorbid anxiety should be considered in the assessment and treatment of patients with musculoskeletal pain and depression, particularly as a factor that may adversely affect treatment response."
18,"Melatonin, an indolamine produced and secreted predominately by the pineal gland, exhibits a variety of physiological functions, possesses antioxidant and antitumor properties. But, the mechanisms for the anti-cancer effects are unknown. The present study explored the effects of melatonin on the migration of human lung adenocarcinoma A549 cells and its mechanism. MTT assay was employed to measure the viability of A549 cells treated with different concentrations of melatonin. The effect of melatonin on the migration of A549 cells was analyzed by wound healing assay. Occludin location was observed by immunofluorescence. The expression of occludin, osteopontin (OPN), myosin light chain kinase (MLCK) and phosphorylation of myosin light chain (MLC), JNK were detected by western blots. After A549 cells were treated with melatonin, the viability and migration of the cells were inhibited significantly. The relative migration rate of A549 cells treated with melatonin was only about 20% at 24 h. The expression level of OPN, MLCK and phosphorylation of MLC of A549 cells were reduced, while the expression of occludin was conversely elevated, and occludin located on the cell surface was obviously increased. The phosphorylation status of JNK in A549 cells was also reduced when cells were treated by melatonin.
Melatonin significantly inhibits the migration of A549 cells, and this may be associated with the down-regulation of the expression of OPN, MLCK, phosphorylation of MLC, and up-regulation of the expression of occludin involving JNK/MAPK pathway."
19,"Transforming growth factor (TGF)-beta has a central role in driving many of the pathological processes that characterize pulmonary fibrosis. Inhibition of the integrin alpha(v)beta6, a key activator of TGF-beta in lung, is an attractive therapeutic strategy, as it may be possible to inhibit TGF-beta at sites of alpha(v)beta6 up-regulation without affecting other homeostatic roles of TGF-beta. To analyze the expression of alpha(v)beta6 in human pulmonary fibrosis, and to functionally test the efficacy of therapeutic inhibition of alpha(v)beta6-mediated TGF-beta activation in murine bleomycin-induced pulmonary fibrosis. Lung biopsies from patients with a diagnosis of systemic sclerosis or idiopathic pulmonary fibrosis were stained for alpha(v)beta6 expression. A range of concentrations of a monoclonal antibody that blocks alpha(v)beta6-mediated TGF-beta activation was evaluated in murine bleomycin-induced lung fibrosis. Alpha(v)beta6 is overexpressed in human lung fibrosis within pneumocytes lining the alveolar ducts and alveoli. In the bleomycin model, alpha(v)beta6 antibody was effective in blocking pulmonary fibrosis. At high doses, there was increased expression of markers of inflammation and macrophage activation, consistent with the effects of TGF-beta inhibition in the lung. Low doses of antibody attenuated collagen expression without increasing alveolar inflammatory cell populations or macrophage activation markers.
Partial inhibition of TGF-beta using alpha(v)beta6 integrin antibodies is effective in blocking murine pulmonary fibrosis without exacerbating inflammation. In addition, the elevated expression of alpha(v)beta6, an activator of the fibrogenic cytokine, TGF-beta, in human pulmonary fibrosis suggests that alpha(v)beta6 monoclonal antibodies could represent a promising new therapeutic strategy for treating pulmonary fibrosis."
20,"To study the effect of 2,3,5-Trimethyl-6-(12-hydroxy-5,10-dodecadiynyl)-1,4-benzoquinone (AA-861) on intercellular adhesion molecule 1 (ICAM-1) and P-selectin expression, leukotriene B4 (LTB4) level, and myeloperoxidase (MPO) activity 24 hours after traumatic brain injury (TBI). This study was carried out in the laboratory of the Department of Clinical Pharmacology, Osmangazi University, Eskisehir, Turkey in 2006. Traumatic brain injury was induced in 2 sets of animals using Feeney`s weight-drop method. The first set was used to study the expression of ICAM-1, P-selectin, CD11a, and mouse anti-rat granulocyte monoclonal antibody (HIS48). The second was used to study tissue changes in LTB4 level, and MPO activity. The rats were sacrificed at 0.5, 4, 24, 48, and 72 hours post-injury. Intercellular adhesion molecule (p=0.000001) and P-selectin expression (p=0.00002) peaked at 24 hours, remained high at 48 hours (p=0.00012 for ICAM-1, and p=0.00002 for P-selectin), and 72 hours (p=0.000008 for ICAM-1, p=0.0011 for P-selectin). The HIS48 intensity was significantly increased at 24-72 hours (p=0.022), while the intensity of CD11a became significant only at 72 hours (p=0.040). Myeloperoxidase activity increased notably at 24 hours (p=0.00077), and peaked at 48 hours (p=0.00001). The LTB4 increased markedly at 4 hours (p=0.000004), and peaked at 24 hours (p=0.000001). Pretreatment with AA-861 considerably suppressed the expression of ICAM-1 (p=0.0053), and P-selectin (p=0.0018) on microvascular endothelium, and lowered MPO activity (p=0.0007), and LTB4 level (p=0.008) at 24 hours.
The present results suggest that AA-861 might be a potential mediator in the treatment of brain inflammation in TBI."
21,"One form of epithelial cell injury in inflamed colonic mucosa in ulcerative colitis (UC) is reported to involve apoptosis of these cells. Bcl-2 family proteins Bax and Bcl-2 are the major regulators of apoptosis. The aim of this study was to elucidate the involvement of the Bax/Bcl-2 system in induction of apoptosis of the inflamed colonic epithelium in UC. Colonic epithelium was isolated from colonic biopsy specimens. Expression of CD95, Bax, Bcl-xL, and Bcl-2 proteins was determined by western blotting. Bax gene expression was assessed by both reverse transcription-polymerase chain reaction (RT-PCR) followed by Southern hybridisation and a real time PCR assay. Equal levels of expression of CD95, Bcl-xL, and Bcl-2 proteins were noted in normal and UC colonic epithelia. Equal levels of expression of Bax protein and mRNA were noted in epithelia of normal colon and inactive UC. Levels of expression of Bax protein and mRNA were markedly reduced in inflamed UC colonic epithelium.
Our study showed for the first time downregulation of Bax in inflamed colonic epithelium of UC. The Bax/Bcl-2 system did not seem to be involved in induction of apoptosis of epithelial cells in the inflamed colonic mucosa of UC."
22,"In this study, we examined the relations between the rate of eating and circulating interleukin (IL)-1β and IL-6 levels in Japanese men not being treated for metabolic diseases. We conducted a cross-sectional study of 170 men 40 to 59 y old (mean ± standard deviation, 51.4 ± 5.7 y old) who participated in health checkups in Japan and were not being treated for metabolic diseases. We measured clinical serum parameters and plasma IL-1β and IL-6 concentrations and assessed by questionnaire lifestyle factors such as the dietary intake of food/nutrition and the rate of eating. Using multivariate linear regression analysis, we analyzed the relations between the rate of eating and IL-1β and IL-6 concentrations, clinical parameters, and lifestyle factors. Significant Spearman correlation coefficients with the rate of eating were observed for IL-1β and IL-6 (0.250 and 0.195, respectively). The rate of eating was positively associated with IL-1β independently of IL-6, body mass index, homeostasis model assessment for insulin resistance, alcohol intake, energy intake, smoking status, and physical activity.
These results indicate that a higher rate of eating is positively and independently associated with circulating IL-1β concentrations in Japanese men not being treated for metabolic diseases."
23,"Much evidence demonstrates that Toll-like receptor-4 (TLR4)-mediated microglial activation is an important contributor to the inflammatory injury in intracerebral haemorrhage (ICH). However, the exact mechanism of TLR4-mediated microglial activation induced by ICH is not clear. In addition, microglial autophagy is involved other forms of nervous system injury. To explore the relationship between TLR4 and autophagy, we investigated the role of TLR4-mediated microglial autophagy and inflammation in ICH. We detected TLR4 expression, autophagy and inflammation of microglia treated with lysed erythrocytes in vitro, and observed the cerebral water content and neurological deficit of ICH mice [TLR4-/- and wild type (WT)] in vivo. We found that lysed erythrocyte treated microglia (TLR4-/-) had reduced autophagy and inflammation compared with microglia (WT) in vitro. ICH mice (TLR4-/-) had reduced water content and neurological injury compared with ICH mice (WT). The autophagy inhibitor (3-methyladenine) decreased microglial activation and inflammatory injury due to lysed erythrocyte treatment, and improved the neurological function of ICH mice.
Taken together, these data suggested that TLR4 induced autophagy contributed to the microglial activation and inflammatory injury and might provide novel therapeutic interventions for ICH."
24,"Spontaneous bacterial infections and septicaemia result in morbidity and mortality in patients with portal hypertension and obstructive jaundice. The aim of this study in rats was to investigate the incidence of bacterial translocation in portal hypertension and obstructive jaundice, and to evaluate the effects of allopurinol and glutamine. Rats were subjected to sham laparotomy (SL), portal hypertension (PH) by calibrated stenosis of the portal vein, and common bile duct ligation (CBDL). Animals of each group were either treated with allopurinol (50 mg/kg twice a week), glutamine (1 g/kg/d), and allopurinol and glutamine. After four weeks, significant bacterial translocation in the untreated PH and CBDL rats occurred. Intestinal mucosal malondialdehyde concentrations (MDA), as an indicator for lipid peroxidation, and myeloperoxidase activity (MPO) released from activated neutrophils were also significantly increased (p < 0.01). Allopurinol and glutamine in PH and CBDL rats improved bacterial translocation, and decreased MDA and MPO values (p < 0.01).
In PH and CBDL rats significant bacterial translocation, ileal mucosal lipid peroxidation, and neutrophil derived MPO activity occurred. Allopurinol and glutamine significantly reduced bacterial translocation, as well as ileal mucosal MDA and MPO activities."
